year,value,gas
1990,19581337.255157333,CO2
1991,19186341.40888191,CO2
1992,18571773.10995995,CO2
1993,18331101.10644628,CO2
1994,18145892.42142626,CO2
1995,18259887.247307975,CO2
1996,18619411.070383035,CO2
1997,18467809.665333424,CO2
1998,18423934.189973496,CO2
1999,18430210.985309362,CO2
2000,18708673.12984988,CO2
2001,18775369.58084819,CO2
2002,18803652.78121133,CO2
2003,19134436.123235725,CO2
2004,19310864.206450865,CO2
2005,19352492.989355713,CO2
2006,19369244.658625778,CO2
2007,19440145.35026148,CO2
2008,18967697.277596712,CO2
2009,17580588.38304696,CO2
2010,18199527.03099159,CO2
2011,17913267.93985278,CO2
2012,17654773.981210195,CO2
2013,17582508.408777945,CO2
2014,17209500.550120525,CO2
1990,3745046.097873619,CH4
1991,3634010.0133283893,CH4
1992,3505710.2907796036,CH4
1993,3404185.5025395714,CH4
1994,3314308.114104693,CH4
1995,3274318.704424892,CH4
1996,3242040.135528159,CH4
1997,3187988.744105062,CH4
1998,3126880.491299328,CH4
1999,3086476.713854731,CH4
2000,3068301.0826512575,CH4
2001,3066743.6258713393,CH4
2002,3044597.8093967773,CH4
2003,3066741.5038729487,CH4
2004,3063473.603284579,CH4
2005,3064061.3926758273,CH4
2006,3056149.783287879,CH4
2007,3051411.3598072445,CH4
2008,3035081.958156775,CH4
2009,2968151.510283071,CH4
2010,2958962.906547497,CH4
2011,2952669.968587565,CH4
2012,2949792.510610155,CH4
2013,2932934.2609015275,CH4
2014,2927075.801148685,CH4
1990,1556359.5134100295,N2O
1991,1494172.4242131908,N2O
1992,1445218.6368264556,N2O
1993,1417992.0278778318,N2O
1994,1386908.6492243097,N2O
1995,1407812.7133384976,N2O
1996,1422482.934087128,N2O
1997,1393821.978274365,N2O
1998,1368095.6328968233,N2O
1999,1279029.591922318,N2O
2000,1275261.4816884112,N2O
2001,1257862.3719168885,N2O
2002,1237224.6550158309,N2O
2003,1230393.3258436704,N2O
2004,1272583.8001925738,N2O
2005,1222363.8319934485,N2O
2006,1215053.619526477,N2O
2007,1221696.622015451,N2O
2008,1180266.3738338726,N2O
2009,1149591.5598867326,N2O
2010,1146164.2075821087,N2O
2011,1145150.596085201,N2O
2012,1137160.3994524982,N2O
2013,1135355.0083141741,N2O
2014,1138728.785453111,N2O
1990,158805.26829183972,HFCs
1991,153987.52430198248,HFCs
1992,158714.18706973596,HFCs
1993,154779.35227156163,HFCs
1994,169206.24557897882,HFCs
1995,201551.92856147536,HFCs
1996,221610.54022049758,HFCs
1997,251987.79727591673,HFCs
1998,277584.3961203852,HFCs
1999,260286.2225811481,HFCs
2000,270848.5285007318,HFCs
2001,261360.08963504777,HFCs
2002,267568.389618153,HFCs
2003,269408.44706500124,HFCs
2004,287956.08875702444,HFCs
2005,305224.76658004004,HFCs
2006,319144.05671214033,HFCs
2007,345487.8632639454,HFCs
2008,369473.4362697048,HFCs
2009,374770.86153006856,HFCs
2010,407806.41721536254,HFCs
2011,420021.67282486963,HFCs
2012,438664.2625863052,HFCs
2013,453782.41329505004,HFCs
2014,472861.18268140743,HFCs
1990,115166.24582867218,PFCs
1991,109225.97798472077,PFCs
1992,95962.47361951794,PFCs
1993,95226.95702412642,PFCs
1994,92297.40950094069,PFCs
1995,94519.86802658824,PFCs
1996,93336.42950581992,PFCs
1997,89011.20997142333,PFCs
1998,82658.65968621678,PFCs
1999,76289.08827485035,PFCs
2000,70053.96521682573,PFCs
2001,56608.94844159782,PFCs
2002,59074.715586955426,PFCs
2003,51235.909683451195,PFCs
2004,47071.086459475635,PFCs
2005,43533.01634208126,PFCs
2006,39409.62199543601,PFCs
2007,37308.5943286018,PFCs
2008,31652.05766153618,PFCs
2009,21681.546304407642,PFCs
2010,22833.78859513347,PFCs
2011,24989.449691313235,PFCs
2012,22697.50271451296,PFCs
2013,22625.735778131602,PFCs
2014,20703.1926744619,PFCs
1990,72608.68305161713,SF6
1991,73987.62500423392,SF6
1992,74127.68994309421,SF6
1993,74717.08596976685,SF6
1994,75097.6635200333,SF6
1995,77183.82144437138,SF6
1996,77197.88197180373,SF6
1997,70281.23104925074,SF6
1998,65054.9622368907,SF6
1999,55982.891987892275,SF6
2000,51112.98981562309,SF6
2001,47396.492659049705,SF6
2002,43980.11808429455,SF6
2003,42211.58291339335,SF6
2004,40934.051152272405,SF6
2005,39146.761709365994,SF6
2006,37263.37609624524,SF6
2007,33552.0575324331,SF6
2008,30584.147231731222,SF6
2009,26608.209178940422,SF6
2010,26936.87297682599,SF6
2011,26868.49808056535,SF6
2012,29460.918448650657,SF6
2013,27551.190682249424,SF6
2014,23315.70590302256,SF6
1990,128.68658206182,NF3
1991,132.098590198568,NF3
1992,135.85889129312,NF3
1993,162.946566584292,NF3
1994,207.91046889101602,NF3
1995,373.294498692608,NF3
1996,425.819593756192,NF3
1997,477.569730909292,NF3
1998,526.322273106936,NF3
1999,525.9605002029721,NF3
2000,623.614596478168,NF3
2001,589.061017759868,NF3
2002,1096.0711555140601,NF3
2003,1125.751794823804,NF3
2004,1183.69861576102,NF3
2005,2058.0679991109364,NF3
2006,2077.0179626421805,NF3
2007,2111.2355474030282,NF3
2008,2066.992034065076,NF3
2009,1798.469369922108,NF3
2010,2179.12843386032,NF3
2011,2491.0436591683483,NF3
2012,2074.333311536492,NF3
2013,2098.531341460766,NF3
2014,1470.387623316824,NF3
